Region no,Salesman no,Product Code,Units Sold
4,3,D4000000,10
2,1,E5000000,8
4,5,G7000000,13
3,1,F6000000,8
4,1,H8000000,10
3,5,G7000000,11
4,6,B2000000,9
1,5,B2000000,9
2,1,G7000000,14
1,2,H8000000,10
2,3,A1010000,19
2,5,A1010000,28
1,6,B2000000,8
1,4,G7000000,10
1,3,F6000000,3
1,6,B2000000,3
3,1,A1010000,7
4,6,G7000000,5
3,6,G7000000,18
1,2,G7000000,9
4,2,G7000000,9
2,5,H8000000,11
4,5,G7000000,8
4,2,G7000000,2
1,1,B2000000,4
2,5,C3000000,19
1,5,D4000000,13
1,6,F6000000,10
1,4,H8000000,15
3,5,B2000000,13
1,3,G7000000,2
4,5,A1010000,9
4,4,G7000000,10
1,6,G7000000,14
4,4,H8000000,6
2,1,A1010000,8
3,4,A1010000,10
2,1,E5000000,6
4,5,D4000000,3
4,1,G7000000,15
3,3,B2000000,8
1,5,E5000000,7
1,2,G7000000,17
1,2,B2000000,8
2,3,B2000000,4
3,2,A1010000,7
2,2,B2000000,13
3,3,A1010000,12
3,5,G7000000,15
4,2,F6000000,24
4,5,E5000000,18
4,3,H8000000,17
3,1,B2000000,1
4,2,B2000000,6
2,6,B2000000,5
3,2,B2000000,10
2,5,F6000000,17
1,2,F6000000,5
2,2,B2000000,16
1,2,G7000000,9
3,5,D4000000,17
4,5,F6000000,3
4,4,G7000000,10
1,3,A1010000,8
4,5,G7000000,12
1,5,A1010000,14
2,3,G7000000,7
1,2,F6000000,15
1,6,A1010000,10
4,1,E5000000,13
3,1,E5000000,27
1,3,B2000000,13
4,2,E5000000,4
2,1,H8000000,31
1,3,F6000000,18
4,3,D4000000,8
3,5,D4000000,29
1,5,D4000000,5
1,5,H8000000,8
3,4,H8000000,5
3,5,C3000000,7
4,6,G7000000,3
1,5,C3000000,8
4,3,A1010000,11
3,6,F6000000,15
2,6,E5000000,16
4,6,H8000000,17
1,2,C3000000,6
1,3,A1010000,8
4,4,A1010000,13
4,2,A1010000,5
4,6,G7000000,9
1,2,E5000000,8
4,3,H8000000,7
4,5,A1010000,14
4,4,C3000000,19
2,3,G7000000,22
3,2,D4000000,5
3,2,G7000000,16
1,5,D4000000,2
4,4,G7000000,4
3,1,A1010000,7
3,2,A1010000,9
2,2,F6000000,8
1,3,E5000000,9
4,3,H8000000,6
4,1,C3000000,2
1,1,C3000000,33
4,5,E5000000,14
2,6,C3000000,9
4,4,D4000000,13
4,5,G7000000,15
1,3,C3000000,8
2,1,D4000000,8
1,1,G7000000,5
4,4,F6000000,6
4,4,F6000000,19
2,2,H8000000,28
2,3,A1010000,2
2,2,E5000000,9
3,6,H8000000,17
3,5,A1010000,5
2,5,A1010000,3
4,3,H8000000,10
1,2,C3000000,9
3,3,G7000000,8
4,5,E5000000,10
3,3,D4000000,8
3,6,E5000000,16
1,4,B2000000,18
4,6,F6000000,26
4,3,C3000000,8
4,2,A1010000,6
3,3,F6000000,14
3,4,G7000000,20
4,6,B2000000,7
2,5,E5000000,3
4,1,A1010000,4
4,4,B2000000,30
1,5,F6000000,3
2,2,C3000000,6
2,2,G7000000,16
1,2,F6000000,8
1,1,B2000000,5
2,3,D4000000,4
2,4,E5000000,10
2,4,B2000000,13
3,3,H8000000,32
4,6,F6000000,2
2,3,B2000000,1
4,3,A1010000,9
3,5,C3000000,1
3,5,A1010000,17
4,1,B2000000,5
4,4,G7000000,5
3,1,C3000000,19
4,1,E5000000,17
1,6,E5000000,10
2,4,E5000000,4
3,2,B2000000,10
3,3,B2000000,5
4,6,A1010000,16
4,6,E5000000,5
2,5,B2000000,17
3,6,H8000000,7
2,5,B2000000,9
3,1,D4000000,23
3,6,G7000000,2
1,2,D4000000,19
2,3,D4000000,34
1,1,C3000000,3
3,3,E5000000,8
1,6,D4000000,32
2,5,D4000000,3
2,1,G7000000,12
4,4,D4000000,14
4,5,H8000000,7
2,6,A1010000,18
3,4,G7000000,24
1,5,C3000000,7
3,1,E5000000,5
4,1,D4000000,10
4,1,A1010000,12
3,2,E5000000,3
2,4,D4000000,9
1,6,G7000000,3
1,4,A1010000,7
2,3,A1010000,7
3,1,G7000000,31
3,3,F6000000,27
2,6,F6000000,22
1,6,D4000000,7
